id,codigo_ibge,nome,uf
1896,3202702,Itaguaçu,ES
1903,3202801,Itapemirim,ES
1907,3202900,Itarana,ES
1910,3203007,Iúna,ES
1915,3203056,Jaguaré,ES
1916,3203106,Jerônimo Monteiro,ES
1918,3203130,João Neiva,ES
1923,3203163,Laranja da Terra,ES
1925,3203205,Linhares,ES
1927,3203304,Mantenópolis,ES
1928,3203320,Marataízes,ES
1929,3203346,Marechal Floriano,ES
1930,3203353,Marilândia,ES
1934,3203403,Mimoso do Sul,ES
1935,3203502,Montanha,ES
1939,3203601,Mucurici,ES
1941,3203700,Muniz Freire,ES
1942,3203809,Muqui,ES
7441,4301636,Balneário Pinhal,RS
1946,3203908,Nova Venécia,ES
1954,3204005,Pancas,ES
1957,3204054,Pedro Canário,ES
1962,3204104,Pinheiros,ES
1964,3204203,Piúma,ES
1966,3204252,Ponto Belo,ES
1971,3204302,Presidente Kennedy,ES
1978,3204351,Rio Bananal,ES
1981,3204401,Rio Novo do Sul,ES
1988,3204500,Santa Leopoldina,ES
1992,3204559,Santa Maria de Jetibá,ES
1994,3204609,Santa Teresa,ES
2028,3205002,Serra,ES
2031,3205010,Sooretama,ES
2003,3204658,São Domingos do Norte,ES
2006,3204708,São Gabriel da Palha,ES
2017,3204807,São José do Calçado,ES
2019,3204906,São Mateus,ES
2024,3204955,São Roque do Canaã,ES
2035,3205036,Vargem Alta,ES
2037,3205069,Venda Nova do Imigrante,ES
2038,3205101,Viana,ES
2042,3205150,Vila Pavão,ES
2043,3205176,Vila Valério,ES
2044,3205200,Vila Velha,ES
2048,3205309,Vitória,ES
1800,3200169,Água Doce do Norte,ES
1801,3200136,Águia Branca,ES
9056,3511300,Cedral,SP
2393,2101301,Bacuri,MA
2370,2100105,Afonso Cunha,MA
2372,2100204,Alcântara,MA
2373,2100303,Aldeias Altas,MA
2374,2100402,Altamira do Maranhão,MA
2375,2100436,Alto Alegre do Maranhão,MA
2376,2100477,Alto Alegre do Pindaré,MA
2377,2100501,Alto Parnaíba,MA
2378,2100550,Amapá do Maranhão,MA
2379,2100600,Amarante do Maranhão,MA
2380,2100709,Anajatuba,MA
2381,2100808,Anapurus,MA
2384,2100873,Araguanã,MA
2385,2100907,Araioses,MA
2386,2100956,Arame,MA
2387,2101004,Arari,MA
2389,2101103,Axixá,MA
2369,2100055,Açailândia,MA
2390,2101202,Bacabal,MA
2391,2101251,Bacabeira,MA
